"Product Name","Product ID","SKU","Size","Color","Price","Currency","Fulfillment Location","Store Name","Stock Location","On Hand"
"PROSPECTOR CREWNECK SWEATSHIRT","703060854834","F1420238580-1-FdBlk-XS-BGD","XS","FadedBlack",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854841","F1420238580-1-Fir-XS-BGD","XS","Fir",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854872","F1420238580-1-FdBlk-XL-BGD","XL","FadedBlack",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854889","F1420238580-1-Fir-XL-BGD","XL","Fir",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854919","F1420238580-1-FdBlk-2XL-BGD","XXL","FadedBlack",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854926","F1420238580-1-Fir-2XL-BGD","XXL","Fir",95.0,"USD","50003","Portland","Main",0
"BALLARD STICKER PACK","703060854995","F1320234043-1-BlshCrlBur-OS-USA","One Size","Multi",35.0,"USD","50003","Portland","Main",0
"125th ANNIVERSARY GLASS TUMBLER SET","703060855015","F20234148-1-NoColor-000000040","One Size","NoColor",125.0,"USD","50003","Portland","Main",0
"OKANOGAN WOOL PULLOVER","703060855152","F1420233073-1-McKinlyOlv-S-LKA","S","McKinlyOlv",225.0,"USD","50003","Portland","Main",0
"OKANOGAN WOOL PULLOVER","703060855169","F1420233073-1-McKinlyOlv-M-LKA","M","McKinlyOlv",225.0,"USD","50003","Portland","Main",0
"OKANOGAN WOOL PULLOVER","703060855176","F1420233073-1-McKinlyOlv-L-LKA","L","McKinlyOlv",225.0,"USD","50003","Portland","Main",0
"OKANOGAN WOOL PULLOVER","703060855190","F1420233073-1-McKinlyOlv-XL-LKA","XL","McKinlyOlv",225.0,"USD","50003","Portland","Main",0
"OKANOGAN WOOL PULLOVER","703060855206","F1420233073-1-McKinlyOlv-2XL-LKA","XXL","McKinlyOlv",225.0,"USD","50003","Portland","Main",0
"BEARTOOTH ROBE","703060855800","F1420244128-1-FirCprPd-S-LKA","S","FirCopper",425.0,"USD","50003","Portland","Main",0
"BEARTOOTH ROBE","703060855824","F1420244128-1-FirCprPd-M-LKA","M","FirCopper",425.0,"USD","50003","Portland","Main",0
"BEARTOOTH ROBE","703060855855","F1420244128-1-FirCprPd-L-LKA","L","FirCopper",425.0,"USD","50003","Portland","Main",0
"BEARTOOTH ROBE","703060855879","F1420244128-1-FirCprPd-XS-LKA","XS","FirCopper",425.0,"USD","50003","Portland","Main",0
"BEARTOOTH ROBE","703060855893","F1420244128-1-FirCprPd-XL-LKA","XL","FirCopper",425.0,"USD","50003","Portland","Main",0
"BEARTOOTH ROBE","703060855916","F1420244128-1-FirCprPd-2XL-LKA","XXL","FirCopper",425.0,"USD","50003","Portland","Main",0
"HUSKY JEANS","703060855930","F1420233135-1-RawInd-34x34-USA","34x34","RawIndigo",90.0,"USD","50003","Portland","Main",0
"HUSKY JEANS","703060855961","F1420233135-1-RawInd-36x34-USA","36x34","RawIndigo",90.0,"USD","50003","Portland","Main",0
"HUSKY JEANS","703060855985","F1420233135-1-RawInd-38x34-USA","38x34","RawIndigo",90.0,"USD","50003","Portland","Main",0
"HUSKY JEANS","703060856005","F1420233135-1-RawInd-40x34-USA","40x34","RawIndigo",90.0,"USD","50003","Portland","Main",0
"WOOL RAGG SOCKS","703060856166","F1320232899-1-NatHth-M-USA","M","NatHthr",40.0,"USD","50003","Portland","Main",0
"WOOL RAGG SOCKS","703060856180","F1320232899-1-NatHth-L-USA","L","NatHthr",40.0,"USD","50003","Portland","Main",0
"WOOL RAGG SOCKS","703060856210","F1320232899-1-NatHth-XL-USA","XL","NatHthr",40.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR TOWEL","703060856364","F20233060-1-BlkOlvSmky-018805711","One Size","BlkOlvSmky",115.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR BANDANA (3-PACK)","703060856425","F1320233048-1-Asstd-OS-BGD","One Size","Smokey3Pck",85.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR SOCK","703060856517","F1320232900-1-BrnTan-M-USA","M","BrnTanSmky",30.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR SOCK","703060856555","F1320232900-1-BrnTan-L-USA","L","BrnTanSmky",30.0,"USD","50003","Portland","Main",0
