Product Name,SKU,Size,Color,Price,Currency,Location,In Stock,Reserved,Allocated,Safety Stock,ATP,Last Stock Import,Timezone,Last Mispick,Mispick Timezone,Present ATP,Future ATP,Future Availability Date
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-9.5-USA,9.5,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-10.5-USA,10.5,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-11.5-USA,11.5,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272628-1-WhtSalmon-024636211,S,WhtSalmon,33,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272628-1-WhtSalmon-024636220,M,WhtSalmon,33,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272628-1-WhtSalmon-024636229,L,WhtSalmon,33,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272628-1-WhtSalmon-024636238,XS,WhtSalmon,33,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272628-1-WhtSalmon-024636247,XL,WhtSalmon,33,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272628-1-WhtSalmon-024636256,XXL,WhtSalmon,33,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272629-1-RuggedTanO-024636212,S,RuggedTanO,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272629-1-RuggedTanO-024636221,M,RuggedTanO,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272629-1-RuggedTanO-024636230,L,RuggedTanO,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272629-1-RuggedTanO-024636239,XS,RuggedTanO,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272629-1-RuggedTanO-024636248,XL,RuggedTanO,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272629-1-RuggedTanO-024636257,XXL,RuggedTanO,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272630-1-SrvGreenWl-024636213,S,SrvGreenWl,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272630-1-SrvGreenWl-024636222,M,SrvGreenWl,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272630-1-SrvGreenWl-024636231,L,SrvGreenWl,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272630-1-SrvGreenWl-024636240,XS,SrvGreenWl,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272630-1-SrvGreenWl-024636249,XL,SrvGreenWl,55,USD,50003,0,0,0,0,0,,,,,0,0,
S/S GRAPHIC T-SHIRT (KYLER MARTZ) (FAST TRACK),F20272630-1-SrvGreenWl-024636258,XXL,SrvGreenWl,55,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR GRAPHIC FULL-ZIP HOODIE (KYLER MARTZ) (FAST TRACK),F1420279779-1-LtHthGry-S-USA,S,LtHthGryWl,135,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR GRAPHIC FULL-ZIP HOODIE (KYLER MARTZ) (FAST TRACK),F1420279779-1-LtHthGry-M-USA,M,LtHthGryWl,135,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR GRAPHIC FULL-ZIP HOODIE (KYLER MARTZ) (FAST TRACK),F1420279779-1-LtHthGry-L-USA,L,LtHthGryWl,135,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR GRAPHIC FULL-ZIP HOODIE (KYLER MARTZ) (FAST TRACK),F1420279779-1-LtHthGry-XS-USA,XS,LtHthGryWl,135,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR GRAPHIC FULL-ZIP HOODIE (KYLER MARTZ) (FAST TRACK),F1420279779-1-LtHthGry-XL-USA,XL,LtHthGryWl,135,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR GRAPHIC FULL-ZIP HOODIE (KYLER MARTZ) (FAST TRACK),F1420279779-1-LtHthGry-2XL-USA,XXL,LtHthGryWl,135,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Nvy-S-BGD,S,NavyBlzDmd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Brn-S-BGD,S,BrownDmnd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Nvy-M-BGD,M,NavyBlzDmd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Brn-M-BGD,M,BrownDmnd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Nvy-L-BGD,L,NavyBlzDmd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Brn-L-BGD,L,BrownDmnd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Nvy-XS-BGD,XS,NavyBlzDmd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Brn-XS-BGD,XS,BrownDmnd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Nvy-XL-BGD,XL,NavyBlzDmd,87.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Brn-XL-BGD,XL,BrownDmnd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Nvy-2XL-BGD,XXL,NavyBlzDmd,62.5,USD,50003,0,0,0,0,0,,,,,0,0,
PROSPECTOR EMBROIDERED HOODIE,F1420242828-1-Brn-2XL-BGD,XXL,BrownDmnd,75,USD,50003,0,0,0,0,0,,,,,0,0,
JOURNEYMAN BACKPACK,F2020282278-1-DkTanFlm-OS-VNM,One Size,DarkTanFlm,199.5,USD,50003,0,0,0,0,0,,,,,0,0,
24 HOUR TIN BRIEFCASE,F2020282279-1-DkTan-OS-VNM,One Size,DarkTan,399,USD,50003,0,0,0,0,0,,,,,0,0,
24 HOUR TIN BRIEFCASE,F2020282279-1-OtrGrn-OS-VNM,One Size,OtterGreen,399,USD,50003,0,0,0,0,0,,,,,0,0,
24 HOUR TIN BRIEFCASE,F2020282279-1-Flm-OS-VNM,One Size,Flame,159.6,USD,50003,0,0,0,0,0,,,,,0,0,
48HR DUFFLE,F2020282280-1-DkTan-OS-VNM,One Size,DarkTan,499,USD,50003,0,0,0,0,0,,,,,0,0,
48HR DUFFLE,F2020282280-1-Nvy-OS-VNM,One Size,Navy,499,USD,50003,0,0,0,0,0,,,,,0,0,
48HR DUFFLE,F2020282280-1-OtrGrn-OS-VNM,One Size,OtterGreen,499,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F20282628-1-Chestnut-024715134,8,Chestnut,195,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F1320282628-1-Chestnut-10-,10,Chestnut,195,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F1320282628-1-Chestnut-12,12,Chestnut,146.25,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F20282628-1-Chestnut-024715137,13,Chestnut,195,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F20282628-1-Chestnut-024715138,11,Chestnut,195,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F1320282628-1-Chestnut-9,9,Chestnut,146.25,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F20282628-1-Chocolate-024715140,8,Chocolate,195,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F1320282628-1-Chocolate-10-,10,Chocolate,195,USD,50003,0,0,0,0,0,,,,,0,0,
QUODDY MOCCASIN,F1320282628-1-Chocolate-12,12,Chocolate,195,USD,50003,0,0,0,0,0,,,,,0,0,
